TestFreq	Level(dB)	ACF Value
80000000	39.614	-19.726
80800000	39.474	-20.341
81608000	39.574	-20.576
82424080	40.007	-20.214
83248320.8	40.188	-19.599
84080804	40.557	-19.054
84921612	40.912	-18.871
85770828.2	41.268	-18.938
86628536.5	41.899	-19.038
87494821.8	42.523	-18.776
88369770	43.518	-18.034
89253467.7	44.24	-17.193
90146002.4	45.095	-16.61
91047462.4	44.484	-17.051
91957937.1	45.006	-17.28
92877516.4	43.126	-18.495
93806291.6	43.479	-18.093
94744354.5	43.684	-17.431
95691798.1	43.941	-16.997
96648716	44.004	-17.131
97615203.2	43.91	-17.823
98591355.2	43.414	-18.506
99577268.8	45.299	-17.278
100573041.5	45.153	-16.516
101578771.9	44.07	-16.643
102594559.6	42.842	-17.512
103620505.2	41.913	-18.876
104656710.2	41.012	-19.871
105703277.4	40.4	-19.733
106760310.1	39.507	-19.339
107827913.2	38.84	-19.398
108906192.4	37.611	-20.487
109995254.3	36.772	-22.007
111095206.8	35.611	-23.082
112206158.9	35.312	-22.757
113328220.5	35.005	-22.265
114461502.7	34.233	-22.561
115606117.7	34.147	-23.259
116762178.9	33.862	-24.487
117929800.7	33.694	-24.731
119109098.7	33.886	-24.09
120300189.7	33.541	-23.812
121503191.6	33.021	-24.312
122718223.5	32.914	-25.071
123945405.7	32.744	-25.671
125184859.8	32.785	-25.585
126436708.4	33.18	-24.807
127701075.5	33.149	-24.343
128978086.2	33.127	-24.699
130267867.1	33.199	-25.803
131570545.7	33.689	-25.523
132886251.2	33.639	-24.353
134215113.7	33.572	-24.211
135557264.9	33.665	-25.14
136912837.5	33.377	-25.859
138281965.9	33.357	-25.079
139664785.5	33.212	-24.647
141061433.4	32.821	-25.177
142472047.7	32.692	-25.567
143896768.2	33.252	-25.167
145335735.9	33.631	-24.567
146789093.2	33.768	-24.014
148256984.2	33.957	-23.589
149739554	34.383	-23.151
151236949.6	34.758	-22.734
152749319.1	35.718	-21.694
154276812.2	36.648	-20.474
155819580.4	37.385	-19.66
157377776.2	37.681	-19.642
158951553.9	37.494	-19.88
160541069.5	37.442	-20.112
162146480.2	37.365	-20.435
163767945	37.341	-20.867
165405624.4	37.276	-21.005
167059680.7	37.302	-21.112
168730277.5	37.192	-21.112
170417580.2	36.763	-21.086
172121756	36.404	-21.366
173842973.6	36.681	-21.227
175581403.3	36.341	-21.027
177337217.4	35.693	-21.521
179110589.5	35.225	-22.2
180901695.4	34.498	-22.089
182710712.4	33.574	-22.441
184537819.5	33.17	-23.193
186383197.7	33.023	-23.196
188247029.7	33.013	-23.216
190129500	33.5	-23.478
192030795	33.966	-23.42
193951102.9	34.97	-23.228
195890614	35.188	-23.369
197849520.1	34.567	-23.709
199828015.3	34.449	-23.933
201826295.5	34.919	-23.753
203844558.4	35.284	-23.521
205883004	35.549	-23.478
207941834	35.251	-23.852
210021252.4	34.578	-24.294
212121464.9	34.396	-24.595
214242679.6	34.267	-24.924
216385106.4	34.4	-24.908
218548957.4	35.199	-24.673
220734447	36.045	-24.355
222941791.5	36.092	-24.352
225171209.4	36.189	-24.098
227422921.5	36.239	-24.228
229697150.7	36.281	-23.867
231994122.2	36.389	-23.458
234314063.4	35.902	-23.871
236657204	35.958	-23.084
239023776.1	35.362	-23.422
241414013.8	35.044	-23.666
243828154	35.582	-23.197
246266435.5	35.715	-23.295
248729099.9	35.775	-23.06
251216390.9	35.808	-23.084
253728554.8	35.508	-23.189
256265840.3	35.592	-23.172
258828498.7	35.403	-22.846
261416783.7	34.942	-23.312
264030951.6	34.967	-23.114
266671261.1	34.96	-23.173
269337973.7	35.066	-23.44
272031353.4	35.461	-22.637
274751667	35.241	-24.027
277499183.6	35.545	-23.29
280274175.5	34.724	-24.106
283076917.2	34.48	-24.223
285907686.4	35.206	-23.725
288766763.3	36.078	-23.999
291654430.9	36.672	-23.802
294570975.2	36.732	-23.017
297516685	36.943	-23.621
300491851.8	37.045	-22.445
303496770.3	36.061	-23.717
306531738	35.574	-22.536
309597055.4	35.136	-23.975
312693026	34.502	-23.147
315819956.2	34.145	-24.18
318978155.8	34.413	-23.016
322167937.3	34.577	-23.699
325389616.7	34.941	-23.367
328643512.9	35.48	-23.438
331929948	36.025	-23.095
335249247.5	36.497	-22.629
338601740	36.152	-23.651
341987757.4	36.562	-22.727
345407634.9	36.119	-23.638
348861711.3	36.315	-22.765
352350328.4	35.98	-23.188
355873831.7	35.794	-22.956
359432570	35.091	-23.817
363026895.7	34.931	-23.967
366657164.7	35.687	-23.229
370323736.3	35.275	-23.415
374026973.7	35.598	-23.099
377767243.4	35.453	-23.171
381544915.8	35.358	-22.794
385360365	35.272	-23.257
389213968.6	36.081	-22.122
393106108.3	37.417	-22.109
397037169.4	39.349	-21.053
401007541.1	39.86	-20.718
405017616.5	39.857	-22.174
409067792.7	39.872	-20.981
413158470.6	39.508	-22.174
417290055.3	39.039	-21.943
421462955.9	37.94	-22.238
425677585.4	36.877	-22.864
429934361.3	36.539	-22.213
434233704.9	35.977	-22.539
438576041.9	35.472	-22.042
442961802.4	35.547	-21.879
447391420.4	35.294	-22.676
451865334.6	35.355	-21.88
456383987.9	35.288	-21.944
460947827.8	34.991	-23.907
465557306.1	35.438	-23.424
470212879.2	34.931	-23.737
474915007.9	35.508	-25.194
479664158	35.779	-24.703
484460799.6	35.899	-23.373
489305407.6	35.84	-23.103
494198461.7	35.461	-22.317
499140446.3	35.356	-21.21
504131850.8	35.549	-20.598
509173169.3	35.922	-20.387
514264901	35.926	-19.57
519407550	35.678	-19.494
524601625.5	36.189	-19.673
529847641.7	36.829	-20.733
535146118.1	36.411	-22.077
540497579.3	36.554	-21.951
545902555.1	36.446	-22.1
551361580.7	35.584	-22.571
556875196.5	35.582	-22.731
562443948.4	35.629	-21.883
568068387.9	36.03	-20.772
573749071.8	35.691	-19.902
579486562.5	36.725	-19.79
585281428.1	38.168	-19.604
591134242.4	37.644	-20.966
597045584.9	37.282	-21.697
603016040.7	37.691	-21.847
609046201.1	38.445	-21.985
615136663.1	38.988	-22.239
621288029.7	39.232	-22.121
627500910	39.144	-22.331
633775919.1	38.658	-22.128
640113678.3	37.168	-22.244
646514815.1	35.948	-22.229
652979963.3	36.272	-21.827
659509762.9	36.971	-21.527
666104860.5	37.655	-21.855
672765909.1	37.942	-22.432
679493568.2	38.475	-23.375
686288503.9	38.927	-23.624
693151389	39.322	-23.532
700082902.8	39.742	-22.452
707083731.9	37.87	-21.873
714154569.2	36.791	-20.692
721296114.9	35.974	-19.801
728509076	36.237	-19.474
735794166.8	36.877	-19.599
743152108.5	38.142	-20.237
750583629.5	37.752	-21.757
758089465.8	36.409	-22.913
765670360.5	36.144	-22.601
773327064.1	37.383	-20.781
781060334.7	38.602	-19.337
788870938.1	40.498	-18.599
796759647.5	43.125	-17.905
804727243.9	43.526	-18.015
812774516.4	42.83	-18.798
820902261.6	41.928	-19.524
829111284.2	40.635	-19.915
837402397	39.447	-19.584
845776421	38.884	-19.496
854234185.2	38.537	-19.949
862776527	38.74	-20.858
871404292.3	39.012	-21.722
880118335.2	39.675	-21.025
888919518.6	39.198	-18.789
897808713.8	38.721	-18.982
906786800.9	39.035	-18.635
915854668.9	39.419	-18.318
925013215.6	39.282	-20.202
934263347.8	37.769	-21.983
943605981.2	36.791	-21.747
953042041.1	37.404	-20.726
962572461.5	37.671	-18.227
972198186.1	36.874	-17.636
981920167.9	37.148	-16.319
991739369.6	38.86	-14.457
1000000000	39.885	-13.375
